ORGÃO SUPERIOR CONTRATANTE;FORMA DE CONTRATAÇÃO;GRUPO DE OBJETO DE CONTRATAÇÃO;NOME DO FORNECEDOR;CPF / CNPJ DO FORNECEDOR;UF DO FORNECEDOR;VALOR CONTRATADO;CNAE PRINCIPAL;DESCRIÇÃO DA ATIVIDADE
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Serviços;E. R. P. DE OLIVEIRA COMERCIO DE INFORMATICA E SERVICO DE APOIO ADMINISTRATIVO LTDA;10.927.661/0001-10;RO;R$ 311.124,00;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;H L DOS SANTOS EIRELI;01.219.144/0001-04;RN;R$ 309.409,90;;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Serviços;ORBENK ADMINISTRACAO E SERVICOS LTDA.;79.283.065/0001-41;SC;R$ 308.840,00;;
MINISTERIO DA ECONOMIA;Dispensa de Licitação;Serviços;ACOFORTE SEGURANCA E VIGILANCIA EIRELI;07.447.264/0001-37;SP;R$ 306.345,00;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;P S GERENCIAL DE NEGOCIOS LTDA;17.360.593/0001-08;PR;R$ 302.122,68;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;PRIME CONSULTORIA E ASSESSORIA EMPRESARIAL LTDA;05.340.639/0001-30;SP;R$ 300.346,06;;
MINISTERIO DA ECONOMIA;Inexigibilidade de Licitação;Serviços;EMPRESA BRASIL DE COMUNICACAO S.A. - EBC;09.168.704/0001-42;DF;R$ 300.000,00;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;OPEN SERVICOS E TERCEIRIZACAO DE MAO DE OBRA LTDA;18.296.524/0001-37;PB;R$ 297.299,84;;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Serviços;GRADI VIGILANCIA E SEGURANCA LTDA;10.599.807/0001-46;MS;R$ 295.128,42;;
MINISTERIO DA ECONOMIA;Dispensa de Licitação;Serviços;CEMAX ADMINISTRACAO E SERVICOS LTDA;10.243.854/0001-52;RJ;R$ 295.003,08;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;JW NEVES LIMPEZA E PORTARIA LTDA.;17.101.290/0001-62;SP;R$ 291.208,32;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;VIGISOL VIGILANCIA PATRIMONIAL EIRELI;79.929.774/0001-51;SC;R$ 291.000,00;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;NASCIMENTO SERVICOS DE LIMPEZA LTDA;03.644.009/0001-23;RS;R$ 288.234,96;;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Bens patrimoniais, Materiais, Serviços;PRODUTIVIDADE SERVICOS ESPECIALIZADOS DE INSTALACOES LTDA;30.283.748/0001-00;SP;R$ 287.608,76;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;MANUTECNICA MANUTENCAO LTDA;03.758.809/0001-75;BA;R$ 282.960,00;;
MINISTERIO DA ECONOMIA;Sem Informação;Outros;TECNO2000 INDUSTRIA E COMERCIO LTDA;21.306.287/0001-52;MG;R$ 282.210,00;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;SETTA - SERVICOS TERCEIRIZADOS LTDA;11.301.568/0001-69;PR;R$ 281.066,04;;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Serviços;ORBENK ADMINISTRACAO E SERVICOS LTDA.;79.283.065/0001-41;SC;R$ 270.247,68;;
MINISTERIO DA ECONOMIA;Pregão;Materiais, Serviços;PRIME CONSULTORIA E ASSESSORIA EMPRESARIAL LTDA;05.340.639/0001-30;SP;R$ 269.764,12;;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Outros;SIMPRESS COMERCIO LOCACAO E SERVICOS LTDA;07.432.517/0001-07;SP;R$ 268.193,79;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;TEIXEIRA & CALADO SEGURANCA LTDA;14.071.312/0001-09;SP;R$ 265.429,92;;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Serviços;LCC MOVEIS EIRELI;09.027.395/0001-90;SP;R$ 263.115,00;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;L. A. QUEIROZ EIRELI;34.791.063/0001-25;PA;R$ 259.946,40;;
MINISTERIO DA ECONOMIA;Dispensa de Licitação;Serviços;AMANDA CAROLINE D ONOFRE GARCIA;***.752.328-**;SP;R$ 259.200,00;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;JAVE - YIRE CONSULTORIA, EVENTOS, SERVICOS E COMERCIO LTDA;02.425.466/0001-64;CE;R$ 258.085,20;;
MINISTERIO DA ECONOMIA;Pregão;Obras;MOENDO COMERCIO E CONSTRUCOES LTDA;05.466.712/0001-14;PE;R$ 257.000,00;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;BRASPE VIGILANCIA E SEGURANCA EIRELI;01.019.747/0001-54;BA;R$ 255.050,16;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;PLANO A ENGENHARIA E CONSTRUCAO EIRELI;13.350.109/0001-09;AC;R$ 253.523,88;;
MINISTERIO DA ECONOMIA;Inexigibilidade de Licitação;Serviços;FUNDACAO FACULDADE DE MEDICINA;56.577.059/0001-00;SP;R$ 251.300,00;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;TAWRUS SEGURANCA E VIGILANCIA LTDA;09.406.386/0001-00;AM;R$ 250.809,36;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;TELEMAR NORTE LESTE S/A. - EM RECUPERACAO JUDICIAL;33.000.118/0001-79;RJ;R$ 241.810,52;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;CRETA COMERCIO E SERVICOS LTDA;04.374.998/0001-45;BA;R$ 240.910,18;;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Outros;SIMPRESS COMERCIO LOCACAO E SERVICOS LTDA;07.432.517/0001-07;SP;R$ 240.655,68;;
MINISTERIO DA ECONOMIA;Dispensa de Licitação;Serviços;OI S.A. - EM RECUPERACAO JUDICIAL;76.535.764/0001-43;RJ;R$ 239.706,00;;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Serviços;MEGA SEGURANCA LTDA;04.951.122/0001-14;MS;R$ 235.944,48;;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Serviços;MEGA SEGURANCA LTDA;04.951.122/0001-14;MS;R$ 235.944,48;;
MINISTERIO DA ECONOMIA;Pregão;Materiais, Serviços;LINK CARD ADMINISTRADORA DE BENEFICIOS EIRELI;12.039.966/0001-11;SP;R$ 235.131,49;;
MINISTERIO DA ECONOMIA;Dispensa de Licitação;Serviços;NORTH SERVICOS DE SEGURANCA EIRELI;86.960.598/0001-86;CE;R$ 233.239,74;;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Serviços;COOPARIOCA COOPERATIVA DE TRABALHO DE TAXI CARIOCA LTDA;31.344.070/0001-90;RJ;R$ 231.535,24;;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Serviços;A SETE COMERCIO E SERVICOS EIRELI;15.188.822/0001-15;GO;R$ 230.638,00;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;GRABIN OBRAS E SERVICOS URBANOS - EIRELI;08.058.662/0001-24;PR;R$ 229.281,71;;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Serviços;ARCOM COMERCIO E SERVICOS EIRELI;18.083.458/0001-17;PR;R$ 227.824,44;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;MASTER VIGILANCIA ESPECIALIZADA LTDA;77.998.912/0010-10;SP;R$ 227.390,00;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;JW NEVES LIMPEZA E PORTARIA LTDA.;17.101.290/0001-62;SP;R$ 225.805,24;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;FUTARI ADMINISTRACAO E SERVICOS EIRELI;15.754.164/0001-81;SP;R$ 223.199,64;;
MINISTERIO DA ECONOMIA;Dispensa de Licitação;Materiais;AUTO POSTO FORMULA FOZ LTDA;86.806.148/0001-33;PR;R$ 217.320,78;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;TELEMAR NORTE LESTE S/A. - EM RECUPERACAO JUDICIAL;33.000.118/0001-79;RJ;R$ 214.461,73;;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Bens patrimoniais;EBA OFFICE COMERCIO DE MAQUINAS PARA ESCRITORIO LTDA;09.015.414/0001-69;SP;R$ 210.532,00;;
MINISTERIO DA ECONOMIA;Inexigibilidade de Licitação;Serviços;PARANAGUA SANEAMENTO S.A.;01.691.945/0001-60;PR;R$ 210.000,00;;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Materiais, Serviços;TICKET SOLUCOES HDFGT S/A;03.506.307/0001-57;RS;R$ 209.790,00;;
MINISTERIO DA ECONOMIA;Pregão;Materiais, Serviços;LINK CARD ADMINISTRADORA DE BENEFICIOS EIRELI;12.039.966/0001-11;SP;R$ 206.020,08;;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Serviços;SFRIAR AR CONDICIONADOS EIRELI;22.036.374/0001-08;GO;R$ 205.100,00;;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Outros;SIMPRESS COMERCIO LOCACAO E SERVICOS LTDA;07.432.517/0001-07;SP;R$ 201.000,00;;
MINISTERIO DA ECONOMIA;Inexigibilidade de Licitação;Serviços;BPGR TECNOLOGIA E INFORMACAO EIRELI;00.885.818/0001-39;RJ;R$ 198.892,20;;
MINISTERIO DA ECONOMIA;Pregão;Materiais, Serviços;LINK CARD ADMINISTRADORA DE BENEFICIOS EIRELI;12.039.966/0001-11;SP;R$ 198.278,00;;
MINISTERIO DA ECONOMIA;Dispensa de Licitação;Serviços;EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS;34.028.316/0026-61;RS;R$ 196.640,00;;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Bens patrimoniais;EBA OFFICE COMERCIO DE MAQUINAS PARA ESCRITORIO LTDA;09.015.414/0001-69;SP;R$ 195.494,00;;
MINISTERIO DA ECONOMIA;Pregão;Materiais, Serviços;LINK CARD ADMINISTRADORA DE BENEFICIOS EIRELI;12.039.966/0001-11;SP;R$ 191.101,12;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;A. C. M. D. PRESTACAO DE SERVICOS EIRELI;04.543.719/0001-20;SP;R$ 189.767,86;;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Serviços;COOPARIOCA COOPERATIVA DE TRABALHO DE TAXI CARIOCA LTDA;31.344.070/0001-90;RJ;R$ 189.737,17;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;ERICA E.G. LIMA SERVICOS DE MAO DE OBRA EIRELI;19.362.299/0001-52;PA;R$ 189.095,80;;
MINISTERIO DA ECONOMIA;Dispensa de Licitação;Serviços;TALIMPO LIMPEZA URBANA - EIRELI;03.116.706/0001-01;RN;R$ 185.957,28;;
MINISTERIO DA ECONOMIA;Dispensa de Licitação;Serviços;SERSIL DO BRASIL SERVICOS TERCEIRIZADOS EIRELI;59.645.168/0001-05;SP;R$ 184.184,17;;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Serviços;APPA SERVICOS TEMPORARIOS E EFETIVOS LTDA;05.969.071/0001-10;SP;R$ 182.679,60;;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Serviços;ASSOCIACAO DOS TAXISTAS PRIME;02.242.714/0001-31;SP;R$ 180.938,88;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;ENERGIZA ENGENHARIA EIRELI;17.856.676/0001-84;DF;R$ 180.000,00;;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Serviços;IMPERIAL RONDONIA FORNECIMENTO E GESTAO DE RECURSOS HUMANOS PARA TERCEIROS LTDA;09.134.888/0001-20;RO;R$ 179.708,64;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;IRMAOS KREFTA LTDA;81.189.227/0001-29;PR;R$ 177.158,00;;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Serviços;APPA SERVICOS TEMPORARIOS E EFETIVOS LTDA;05.969.071/0001-10;SP;R$ 175.401,60;;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Outros;MENDEX NETWORKS TELECOMUNICACOES LTDA;08.219.232/0001-47;SP;R$ 173.800,00;;
MINISTERIO DA ECONOMIA;Pregão;Outros;EBARA TECNOLOGIA COMERCIO E SERVICOS EM INFORMATICA LTDA;04.471.402/0001-25;RN;R$ 171.149,76;;
MINISTERIO DA ECONOMIA;Pregão;Materiais, Serviços;J. ATAIDE ALVES EIRELI;09.165.068/0001-03;AL;R$ 169.517,82;;
MINISTERIO DA ECONOMIA;Dispensa de Licitação;Serviços;JOSE ROBERTO DOS SANTOS;***.073.076-**;MG;R$ 168.840,00;;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Serviços;ORBENK ADMINISTRACAO E SERVICOS LTDA.;79.283.065/0001-41;SC;R$ 167.851,20;;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Serviços;LCC MOVEIS EIRELI;09.027.395/0001-90;SP;R$ 166.639,50;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;PONTUAL SERVICOS EMPRESARIAL EIRELI;22.688.729/0001-35;MG;R$ 165.039,12;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;OBSERVES SERVICOS EIRELI;26.412.260/0001-68;SC;R$ 163.797,79;;
MINISTERIO DA ECONOMIA;Pregão;Obras;LLP ENGENHARIA & CONSULTORIA LTDA;10.385.871/0001-24;DF;R$ 162.000,00;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;A S NETO ENGENHARIA EIRELI;11.896.697/0001-47;MG;R$ 162.000,00;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;TELEFONICA BRASIL S.A.;02.558.157/0001-62;SP;R$ 161.816,35;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;NP3 COMERCIO E SERVICOS LTDA;01.667.155/0003-00;RS;R$ 159.542,59;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;DIEGO F.GUTIERREZ;18.904.963/0001-85;SP;R$ 159.000,00;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;MEMPHIS ENGENHARIA E SERVICOS EIRELI;57.183.816/0001-15;SP;R$ 155.250,00;;
MINISTERIO DA ECONOMIA;Pregão;Outros;1TELECOM SERVICOS DE TECNOLOGIA EM INTERNET LTDA;11.844.663/0001-09;PE;R$ 152.000,00;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;HIGICLEAN III TECNOLOGIA E LIMPEZA EIRELI;25.128.718/0001-99;BA;R$ 151.566,60;;
MINISTERIO DA ECONOMIA;Pregão;Materiais, Serviços;LINK CARD ADMINISTRADORA DE BENEFICIOS EIRELI;12.039.966/0001-11;SP;R$ 150.781,54;;
MINISTERIO DA ECONOMIA;Dispensa de Licitação;Materiais;CENTRAL DE COOPERATIVAS DE COMERCIALIZACAO DA AGRICULTURA FAMILIAR E ECONOMIA SOLIDARIA ARCO SERTAO;15.303.517/0001-27;BA;R$ 148.330,00;;
MINISTERIO DA ECONOMIA;Inexigibilidade de Licitação;Serviços;COPEL DISTRIBUICAO S.A.;04.368.898/0001-06;PR;R$ 144.417,60;;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Bens patrimoniais;EUROLINE COMERCIO DE MOVEIS EIRELI;13.622.580/0001-09;RS;R$ 142.418,00;;
MINISTERIO DA ECONOMIA;Inexigibilidade de Licitação;Serviços;COMPANHIA DE AGUAS E ESGOTOS DE RORAIMA CAER;05.939.467/0001-15;RR;R$ 139.319,10;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;ENGELINK LTDA.;12.139.246/0001-28;PR;R$ 139.079,58;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;NORTE SERVICOS DE MAO DE OBRA EIRELI;14.991.257/0001-67;PA;R$ 138.991,34;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;ENERFIX MANUTENCAO E INSTALACAO LTDA;28.319.607/0001-58;GO;R$ 137.900,00;;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Materiais, Serviços;INFOCABLE INFRAESTRUTURA E TECNOLOGIA LTDA;13.168.343/0001-01;PR;R$ 137.785,00;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;SUP SERVICOS DE CONSTRUCOES E MANUTENCAO EIRELI;04.465.383/0001-24;AM;R$ 135.720,00;;
MINISTERIO DA ECONOMIA;Pregão;Obras;CONSTRUTORA MAIORCA EIRELI;26.925.413/0001-70;DF;R$ 135.057,09;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;GAMA CONSERVACAO E MANUTENCAO PREDIAL LTDA;19.609.199/0001-88;CE;R$ 134.794,92;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;INOVAR SERVICOS CORPORATIVOS LTDA;27.189.662/0001-08;CE;R$ 133.650,04;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;IGUACU DESENVOLVIMENTO LTDA;17.453.147/0001-30;PR;R$ 129.126,40;;
MINISTERIO DA ECONOMIA;Dispensa de Licitação;Serviços;TAWRUS SEGURANCA E VIGILANCIA LTDA;09.406.386/0001-00;AM;R$ 128.580,12;;
MINISTERIO DA ECONOMIA;Inexigibilidade de Licitação;Serviços;EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS;34.028.316/7101-51;SP;R$ 125.000,00;;
MINISTERIO DA ECONOMIA;Pregão;Materiais, Serviços;LINK CARD ADMINISTRADORA DE BENEFICIOS EIRELI;12.039.966/0001-11;SP;R$ 123.411,86;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;VALE DO RIBEIRA INTERNET LTDA;07.017.934/0001-85;SP;R$ 120.898,40;;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Serviços;ASSOCIACAO DOS TAXISTAS PRIME;02.242.714/0001-31;SP;R$ 120.473,10;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;REFORMAR ELEVADORES LTDA;21.633.171/0001-28;BA;R$ 119.999,52;;
MINISTERIO DA ECONOMIA;Inexigibilidade de Licitação;Serviços;EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS;34.028.316/0004-56;AL;R$ 116.669,97;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;R R DA C RODRIGUES COMERCIO VAREJISTA DE PRODUTOS FARMACEUTICOS- EIRELI;17.284.229/0001-06;AM;R$ 115.200,00;;
MINISTERIO DA ECONOMIA;Dispensa de Licitação;Serviços;HELENA HIROMI TANAKA MAKINODAN;***.028.848-**;SP;R$ 114.622,56;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;FOCO SERVICOS TERCEIRIZADOS EIRELI;27.619.044/0001-50;RS;R$ 114.018,00;;
MINISTERIO DA ECONOMIA;Dispensa de Licitação;Serviços;LIMPMAX ADMINISTRADORA DE SERVICOS EIRELI;12.256.355/0001-25;PE;R$ 113.185,08;;
MINISTERIO DA ECONOMIA;Pregão;Outros;QUALYCOPY COMERCIO E SERVICOS LTDA;02.902.072/0001-50;BA;R$ 113.004,00;;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Serviços;HAZA CONSTRUCOES DE EDIFICIOS EIRELI;17.278.082/0001-33;AM;R$ 112.734,22;;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Materiais;PRIME CONSULTORIA E ASSESSORIA EMPRESARIAL LTDA;05.340.639/0001-30;SP;R$ 111.235,50;;
MINISTERIO DA ECONOMIA;Dispensa de Licitação;Serviços;EMBRASG - EMPRESA BRASILEIRA DE SERVICOS GERAIS LTDA;01.248.111/0001-84;GO;R$ 109.758,72;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;DT CONSERVACAO E LIMPEZA LTDA -;00.997.194/0001-41;AM;R$ 109.570,00;;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Outros;SIMPRESS COMERCIO LOCACAO E SERVICOS LTDA;07.432.517/0001-07;SP;R$ 108.966,27;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;ERICA E.G. LIMA SERVICOS DE MAO DE OBRA EIRELI;19.362.299/0001-52;PA;R$ 106.499,64;;
MINISTERIO DA ECONOMIA;Inexigibilidade de Licitação;Serviços;EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS;34.028.316/7101-51;SP;R$ 105.000,00;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;OBSERVES SERVICOS EIRELI;26.412.260/0001-68;SC;R$ 104.157,86;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;PETBRAZIL CLINICA VETERINARIA LTDA;01.781.151/0001-97;PR;R$ 102.204,00;;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Serviços;AG4 SERVICOS EMPRESARIAIS - EIRELI;03.171.959/0001-88;SP;R$ 101.148,38;;
MINISTERIO DA ECONOMIA;Dispensa de Licitação;Serviços;A & L SERVICOS EIRELI;21.976.075/0001-82;SE;R$ 100.255,82;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;S & B LOCACOES DE VEICULOS EIRELI;01.838.726/0001-60;PE;R$ 98.183,50;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;AMBIENTAL TECNOL CONSULTORIA EIRELI;07.819.027/0001-50;GO;R$ 97.145,00;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;ERICA E.G. LIMA SERVICOS DE MAO DE OBRA EIRELI;19.362.299/0001-52;PA;R$ 97.127,95;;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Serviços;IMPERIAL RONDONIA FORNECIMENTO E GESTAO DE RECURSOS HUMANOS PARA TERCEIROS LTDA;09.134.888/0001-20;RO;R$ 96.261,12;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;GREENLIFE JARDINS E AREAS VERDES LTDA;12.513.284/0001-07;SP;R$ 96.000,00;;
MINISTERIO DA ECONOMIA;Inexigibilidade de Licitação;Serviços;CIA DE SANEAMENTO BASICO DO ESTADO DE SAO PAULO SABESP;43.776.517/0001-80;SP;R$ 95.620,00;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;SOBERANA TERCEIRIZACAO DE SERVICOS EIRELI;02.891.176/0001-06;PR;R$ 94.417,51;;
MINISTERIO DA ECONOMIA;Sem Informação;Outros;SPR BATERIAS COMERCIO E IMPORTACAO EIRELI;13.303.289/0001-60;SP;R$ 93.705,15;;
MINISTERIO DA ECONOMIA;Inexigibilidade de Licitação;Serviços;EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS;34.028.316/0003-75;AM;R$ 91.000,00;;
MINISTERIO DA ECONOMIA;Inexigibilidade de Licitação;Serviços;COMPANHIA PERNAMBUCANA DE SANEAMENTO;09.769.035/0001-64;PE;R$ 90.429,60;;
MINISTERIO DA ECONOMIA;Inexigibilidade de Licitação;Serviços;EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS;34.028.316/7101-51;SP;R$ 90.000,00;;
MINISTERIO DA ECONOMIA;Pregão;Serviços;ELEVADORES MILENIO EIRELI;03.539.398/0001-27;MG;R$ 89.999,00;;
MINISTERIO DA ECONOMIA;Pregão;Materiais;MUNDIAL DERIVADOS DE PETROLEO LTDA;04.727.601/0001-51;ES;R$ 89.850,00;;
MINISTERIO DA ECONOMIA;Pregão;Materiais;ROBERIO PINTO FREIRE;29.062.235/0001-90;CE;R$ 89.100,00;;
MINISTERIO DA ECONOMIA;Pregão;Bens patrimoniais;FM SOLUCOES INTEGRADAS EIRELI;19.367.628/0001-58;DF;R$ 89.000,00;;
MINISTERIO DA ECONOMIA;Pregão;Materiais, Serviços;PRIME CONSULTORIA E ASSESSORIA EMPRESARIAL LTDA;05.340.639/0001-30;SP;R$ 88.481,04;;
MINISTERIO DA ECONOMIA;Inexigibilidade de Licitação;Serviços;CELESC DISTRIBUICAO S.A;08.336.783/0001-90;SC;R$ 87.600,00;;
MINISTERIO DA ECONOMIA;Pregão;Outros;PRINT & COPY EQUIPAMENTOS E SERVICOS LTDA;01.798.250/0001-81;MS;R$ 87.510,00;;
MINISTERIO DA ECONOMIA;Pregão - Registro de Preço;Serviços;LIMPAR LIMPEZA E CONSERVACAO LTDA;08.775.721/0001-85;PA;R$ 84.910,80;;
